日付け,3m,6m,2y,5y,10y,30y
12月 1998,4.468,4.468,4.583,5.241,4.658,5.096
１月 1999,4.447,4.468,5.15,5.107,4.653,5.088
２月 1999,4.657,4.675,4.991,5.211,5.294,5.58
３月 1999,4.487,4.48,5.066,5.585,5.242,5.625
４月1999,4.532,4.54,5.401,5.649,5.35,5.662
５月1999,4.635,4.643,5.516,5.793,5.624,5.83
６月 1999,4.753,4.794,5.617,5.874,5.785,5.964
７月 1999,4.745,4.75,5.736,5.752,5.902,6.107
８月 1999,4.972,4.982,5.591,5.944,5.974,6.066
９月 1999,4.794,4.866,5.765,6.111,5.881,6.049
10月 1999,5.093,5.093,6.026,6.342,6.028,6.166
11月 1999,5.285,5.316,6.243,6.685,6.193,6.288
12月 1999,5.207,5.229,6.612,6.593,6.435,6.482
１月 2000,5.692,5.697,6.534,6.316,6.662,6.488
２月 2000,5.792,5.78,6.483,6.54,6.409,6.135
３月 2000,5.86,5.86,6.698,6.567,6.002,5.831
４月2000,5.813,5.812,6.684,6.186,6.218,5.964
５月2000,5.613,5.619,6.366,6.155,6.285,6
６月 2000,5.86,5.86,6.317,5.975,6.027,5.898
７月 2000,6.203,6.214,6.192,5.858,6.04,5.783
８月 2000,6.307,6.312,6.004,5.813,5.729,5.665
９月 2000,6.209,6.22,5.948,5.444,5.808,5.888
10月 2000,6.351,6.371,5.658,4.984,5.761,5.787
11月 2000,6.207,6.218,5.129,4.779,5.478,5.609
12月 2000,5.869,5.869,4.58,4.665,5.112,5.456
１月 2001,4.978,4.978,4.398,4.551,5.112,5.504
２月 2001,4.869,4.869,4.209,4.888,4.904,5.315
３月 2001,4.291,4.292,4.301,4.912,4.915,5.445
４月2001,3.88,3.88,4.217,4.97,5.336,5.786
５月2001,3.642,3.642,4.253,4.525,5.385,5.756
６月 2001,3.672,3.673,3.801,4.379,5.404,5.761
７月 2001,3.549,3.549,3.559,3.806,5.055,5.526
８月 2001,3.378,3.378,2.851,3.473,4.84,5.371
９月 2001,2.37,2.371,2.375,4.061,4.59,5.422
10月 2001,2.038,2.038,2.846,4.337,4.244,4.872
11月 2001,1.782,1.782,3.12,4.374,4.754,5.286
12月 2001,1.736,1.736,3.195,4.201,5.029,5.469
１月 2002,1.777,1.777,3.049,4.818,5.046,5.438
２月 2002,1.756,1.756,3.722,4.432,4.874,5.419
３月 2002,1.807,1.808,3.261,4.357,5.406,5.801
４月2002,1.782,1.782,3.203,4.041,5.089,5.596
５月2002,1.746,1.746,2.821,3.481,5.045,5.617
６月 2002,1.7,1.7,2.242,3.188,4.809,5.514
７月 2002,1.705,1.705,2.138,2.564,4.459,5.308
８月 2002,1.689,1.69,1.691,2.811,4.13,4.928
９月 2002,1.551,1.551,1.756,3.261,3.6,4.67
10月 2002,1.515,1.454,2.06,2.729,3.895,4.99
11月 2002,1.254,1.254,1.59,2.936,4.211,5.042
12月 2002,1.219,1.219,1.697,2.665,3.818,4.782
１月 2003,1.177,1.202,1.516,2.706,3.966,4.84
２月 2003,1.203,1.202,1.501,2.75,3.692,4.693
３月 2003,1.127,1.12,1.486,2.29,3.802,4.835
４月2003,1.127,1.14,1.349,2.413,3.84,4.785
５月2003,1.111,1.099,1.344,3.213,3.373,4.378
６月 2003,0.917,0.96,1.756,3.464,3.516,4.559
７月 2003,0.938,1.032,1.978,2.82,4.41,5.338
８月 2003,0.973,1.053,1.464,3.225,4.47,5.22
９月 2003,0.948,1.022,1.83,3.254,3.94,4.873
10月 2003,0.953,1.037,2.07,3.213,4.297,5.131
11月 2003,0.937,1.047,1.837,3.139,4.334,5.062
12月 2003,0.927,1.022,1.609,2.94,4.253,5.072
１月 2004,0.917,1.001,1.647,2.778,4.134,4.954
２月 2004,0.948,1.006,1.572,3.599,3.972,4.841
３月 2004,0.943,0.996,2.294,3.714,3.837,4.77
４月2004,0.968,1.145,2.455,3.768,4.51,5.27
５月2004,1.06,1.387,2.679,3.689,4.665,5.318
６月 2004,1.28,1.65,2.628,3.325,4.583,5.29
７月 2004,1.439,1.754,2.515,3.321,4.491,5.199
８月 2004,1.583,1.78,2.593,3.28,4.24,4.916
９月 2004,1.695,1.976,2.552,3.686,4.123,4.842
10月 2004,1.894,2.126,3.001,3.606,4.029,4.789
11月 2004,2.212,2.427,3.065,3.7,4.355,4.959
12月 2004,2.207,2.566,3.28,4.015,4.222,4.823
１月 2005,2.447,2.701,3.604,4.172,4.132,4.588
２月 2005,2.724,2.936,3.783,3.902,4.381,4.721
３月 2005,2.766,3.114,3.658,3.737,4.488,4.76
４月2005,2.869,3.134,3.582,3.703,4.2,4.515
５月2005,2.93,3.103,3.645,4.132,3.987,4.323
６月 2005,3.101,3.313,4.023,3.862,3.921,4.194
７月 2005,3.389,3.637,3.82,4.196,4.282,4.473
８月 2005,3.503,3.707,4.173,4.445,4.014,4.258
９月 2005,3.518,3.869,4.386,4.43,4.332,4.571
